beerid,breweryid,name,abv,ibu,isorganic,isretired,servingtemperature,foodpairings,status,styleid
Oklbuw,p1tFbP,Leghorn Rye IPA,6,65,Y,N,,,verified,30
3Csw32,p1tFbP,Liberty Blonde,4.9,32,Y,N,,,verified,36
xoUVy2,nHLlnK,Life and Limb,10.2,,N,N,,,verified,
vrGuPg,4F7QA9,Liger Lager,6.9,,N,N,,,verified,97
2NsDUk,DifSi4,Light IPA,4,37,N,N,,,verified,30
36DmYw,BznahA,Lime-a-Rita,8,,N,N,,,verified,161
a29mU4,VEY3Xa,Little Birdy,6.9,,N,N,,,verified,30
2mfXU8,AqEUBQ,Little Bohemia,5.3,,N,N,,,verified,138
jshi8D,nLsoQ9,Little Sumpin’ Wild,8.74,72.51,N,N,cool,,verified,25
XDaNfi,VEY3Xa,Little Wolf,4.7,40,N,N,,,verified,25
DqTrrP,4F7QA9,Lolo IPA,6.4,60,Y,N,,,verified,30
J183HL,VEY3Xa,London Calling,3.2,,N,N,,,verified,10
DmCMSF,AqEUBQ,London Calling English Porter Cask,5.3,,N,N,,,verified,158
epip51,nHLlnK,Long Steam IPA,5.8,,N,N,,,verified,30
zDUkcd,AqEUBQ,Lost Dune,5.5,30,N,N,,"Salmon, Pork, Basil, Mint, Fruit crisps.",verified,119
r1uQvZ,p1tFbP,Lovebird Wheat,4.4,,N,N,,,verified,48
DNAmvo,TMc6H2,LowRYEder IPA,6.2,45,N,N,,,verified,117
CWwxeR,nLsoQ9,Lucky 13,8.3,76.92,N,N,,,verified,32
eEWCFd,IImUD9,Lucky U IPA,6.2,68,N,N,,,verified,30
SItgWZ,q6vJUK,Lupu Lava Tropical IPA,6.8,,N,N,,,verified,30
R5Y92z,uM2jeT,Ma Mère Spéciale,6,,N,N,,,verified,70
C94dnF,nHLlnK,Mach 25 Intergalactic Planetary Ale,5,,N,N,,,verified,
c0okIY,AqEUBQ,Mad Catter,7,,N,N,,,verified,31
baONtD,AqEUBQ,Mad Hatter IPA,7,55,N,N,cold,"Aged cheddars, herb-roasted poultry, vinaigrettes and six o’clock.",verified,30
56hSxC,VEY3Xa,Madonna,8,90,N,N,,,verified,31
CEVOre,nHLlnK,Mai-nd-Bockling,6,30,N,N,,,verified,89
n8itvA,nHLlnK,Maillard's Odyssey,8.5,40,N,N,,,verified,33
whHlqc,nHLlnK,Maillard's Odyssey - Beer Camp Across America,8.5,40,N,N,,,verified,28
xLOOss,q6vJUK,Mama's Little Yella Pils,5.3,35,N,N,,,verified,75
u0mJPG,p3YrOa,Man Full of Trouble,5,,N,N,,,verified,18
E5i29p,VEY3Xa,Mandarina Bavaria,4.9,,N,N,,,verified,92
dS0wsG,IImUD9,Mango Mosaic Pale Ale,5.5,29,N,N,,,verified,25
iNpc02,nHLlnK,Maple Scotch-Style Ale,7.3,43,N,N,,,verified,15
fIWpZI,AqEUBQ,Marilla Trail,10.1,,N,N,,,verified,132
EWG6gq,q6vJUK,Martzen,,,N,N,,,verified,81
mjPDnq,q6vJUK,Mash Appeal,4.3,19,N,N,,"Root vegetables, grilled sausages, pear desserts.",verified,93
fnqCGB,nLsoQ9,Maximus,8.2,72.4,N,N,,,verified,30
RVXI4q,q6vJUK,McKercher's Keller Kolsch,5.2,,N,N,,,verified,45
tupCCv,TMc6H2,Mean Joe Bean,8.5,,N,N,,,verified,18
2z4qK8,AqEUBQ,Michigan Awesome Hatter,5.8,55,N,N,,"Sharp cheddars, herb-roasted poultry and curry",verified,25
TMp47T,AqEUBQ,Michigan Hatter,4.8,,N,N,,,verified,30
RiwjnU,AqEUBQ,Michigan Wet-Hopped Harvest Ale,,,N,N,,,verified,26
1j4prL,TMc6H2,Mid Winter India Pale Ale,,,N,N,,,verified,30
xrpjYO,IImUD9,Mighty Brown,7.5,21,N,Y,,,verified,37
qxNOIk,DifSi4,Milk Stout,5.8,28,N,N,,,verified,20
JUjEnp,hGFVYy,Miller Chill,4.1,,N,N,,,verified,94
ISlZaz,hGFVYy,Miller Fortune,6.9,,N,N,,,verified,97
Y8Ar6h,hGFVYy,Miller Genuine Draft,4.66,,N,N,,,verified,94
voS2xG,hGFVYy,Miller High Life,5,,N,N,very_cold,,verified,94
KJIjyd,hGFVYy,Miller Lite,4.2,11,N,N,,,verified,94
yagN3u,hGFVYy,Miller64,2.8,,N,N,,,verified,94
dsVALR,AqEUBQ,Mischievous,5.5,14,N,N,,"Wild game, charcuterie, stone fruit",verified,170
ZYOCUN,BznahA,Mixxtail Firewalker,8,,N,N,,,verified,161
Bs70do,BznahA,Mixxtail Long Island Iced Tea,8,,N,N,,,verified,161
GWVXY3,p1tFbP,Mocha Porter,,,Y,N,,,verified,123
qQw3dE,AqEUBQ,Monkey King,5.6,23,N,N,cool,"Shellfish, spiced cheeses and citrus-laden vinaigrettes.",verified,72
JSTPos,AqEUBQ,Monkey King Saison Farmhouse Ale,6.6,,N,N,,,verified,72
2FgZ04,IImUD9,Mountain Series: Salted Caramel Brown,6.5,24,N,N,,,verified,37
pPGV1H,IImUD9,Mountain Wheat,,,N,N,,,verified,97
YWt2Ld,TMc6H2,Moving To the Country,5,40,N,N,,,verified,25
vpoGSw,nHLlnK,Moxee-Moron,7.5,70,N,N,,,verified,31
69Yqbc,nLsoQ9,Mozango,7.7,49,N,N,,,verified,30
aWUHyv,nLsoQ9,Mozango (Fusion XXXI),9,,N,N,,,verified,31
OPM4t8,DMU2Kf,Mt. Takhoma Blonde Ale,3.8,,N,N,,,verified,61
etD9Ry,VEY3Xa,Mungo Berry,4.8,,N,N,,,verified,40
Esu28L,4F7QA9,Murphy's Law Red Ale,5,20,N,N,,,verified,22
S9QxGf,nHLlnK,Myron's Walk - Beer Camp Across America,5.3,38,N,N,,,verified,62
9XJBp9,VEY3Xa,Narconaut,6.6,70,N,N,,,verified,30
Rg6aeS,nHLlnK,Narwhal,10.2,60,N,N,,,verified,43
9Qr0BU,nHLlnK,Narwhal Tawny Port Barrel Aged,11.4,,N,N,,,verified,43
Xzoo8o,BznahA,Natty Daddy,8,,N,N,,,verified,94
lFrwWQ,BznahA,Natural Ice,5.9,,N,N,,,verified,94
NZakfr,BznahA,Natural Light,4.2,,N,N,,,verified,94
TPdvZt,nHLlnK,Neomixicanus,6.5,,N,N,,,verified,30
eI5fN2,nLsoQ9,New Dogtown Pale Ale,6.2,,N,N,,,verified,25
AXkM1P,TMc6H2,New England IPA,7.5,,N,N,,,verified,172
tGCD2j,AqEUBQ,New Holland Brewing 20th Anniversary Ale,20,,N,N,,,verified,14
Bl8SsD,AqEUBQ,New Holland Dragon's Milk (Bourbon Barrel Stout),,,N,N,,,verified,44
3PXm6h,q6vJUK,Nib Sip Chub,7,,N,N,,,verified,18
OXcz6Z,p3YrOa,Nice Things IPA,6.4,37,N,N,,,verified,30
sicuOa,nLsoQ9,Night Time,7.9,65,N,N,cool,,verified,41
qVUNwf,AqEUBQ,Night Tripper,10.8,56,N,N,,,verified,43
pDZET2,AqEUBQ,Night Tripper (2011),10.8,,N,N,,,verified,43
LOVCKl,AqEUBQ,Night Tripper Barrel Aged,10.8,56,N,N,,,verified,43
B0vbr1,AqEUBQ,Night Wish,10.5,,N,N,,,verified,43
YrOqvr,IImUD9,Nitro Irish Stout,4.8,38,N,N,,,verified,23
ZliVSZ,IImUD9,Nitro Lucky U IPA,5.7,68,N,N,,,verified,30
EkVPnE,IImUD9,Nitro Orange Cream Ale,5.5,15,N,N,,,verified,109
l4L4RO,IImUD9,Nitro Series: Chocolate Orange Stout,6,13,N,N,,,verified,20
Cwuozg,IImUD9,Nitro Vanilla Porter (NVP),4.7,16,N,N,,,verified,18
TOBHd9,nHLlnK,No Middle Ground,6.9,45,N,N,,,verified,30
NJL9oB,BznahA,Noble Helles (Batch No. 32218),5,,N,N,,,verified,78
kzcLek,BznahA,Noble Hopped Lager (Batch No. 32218),5,,N,N,,,verified,93
QD9dX7,q6vJUK,Nooice,6.2,,N,N,,,verified,72
he3yMK,nHLlnK,Nooner Pilsner,5.2,38,N,N,,,verified,98
OhhDEr,nHLlnK,Nooner Session IPA,4.8,40,N,N,,"Crispy San Diego-style fish tacos, Weisswurst, Cobb Salad

White cheddar, Creamy Bleu, Asiago",verified,30
zdjQs9,VEY3Xa,Northdown,4.1,25,N,N,,,verified,1
WCKkkd,IImUD9,Now You Know,6.1,,N,N,,,verified,30
00CxqR,DifSi4,Nut Brown Ale,5.2,17,N,N,,,verified,37
2EkHBG,nHLlnK,NXS,6.5,54,N,N,,,verified,30
BEFupD,nHLlnK,NxS IPA,9,,N,N,,,verified,31
n6p2aw,BznahA,O'Doul's,0.5,,N,N,,,verified,139
4QiGHK,BznahA,O'Doul's Amber,0.5,,N,N,,,verified,101
N9aJxO,AqEUBQ,Oak Aged Mad Hatter India Pale Ale,7.22,62,N,N,,"smoked foods, tomatoes and beef",verified,31
Jio9R0,IImUD9,Oatmeal Stout,5,31,N,N,,,verified,21
1HeKZM,nHLlnK,Oatmeal Stout - Beer Camp #45,9,,N,N,,,verified,21
qACg0q,4F7QA9,Oatmeal Stout ,5.5,30,Y,N,,,verified,21
s5V8YM,q6vJUK,Obliterator,10.5,,N,N,,,verified,90
cJvlzs,DifSi4,Octoberfest,5.2,21,N,N,,,verified,81
oBponF,BznahA,Oculto,6,,N,N,,,verified,93
798rjW,nHLlnK,Oh Saisonna,8.3,,N,N,,,verified,72
ADXvig,941OaA,Oktober-Fiesta,5.5,25,N,N,cool,Sauerbraten and pretzels,verified,101
Pwu2fR,nHLlnK,Oktoberfest,6,30,N,Y,,,verified,102
Q5y7v5,nHLlnK,Oktoberfest,6,20,N,N,,"CUISINE:  German Weisswurst sausage, Roast Pork
CHEESE:  Mild Cheddar, Butterkase
DESSERT:  Apple Strudel with fresh whipped cream",verified,102
42fXwv,AqEUBQ,Oktoberfest,5.3,,N,N,,,verified,102
EcAeVx,nHLlnK,Oktoberfest,6,30,N,Y,,,verified,82
sfHgoE,nHLlnK,Oktoberfest,6.2,30,N,Y,,,verified,102
KGaPva,nHLlnK,Oktoberfest,6.1,30,N,Y,,,verified,82
twBPib,IImUD9,Oktoberfest,,,N,N,,,verified,82
YUVOGh,VEY3Xa,Oktoberfest Marzen Lager,5.4,26,N,N,,,verified,102
lr1zya,VEY3Xa,Old Ale,6.9,40,N,N,,,verified,13
jChDlj,nHLlnK,Old Chico Crystal Wheat,4.8,26,N,N,,"Citrus Salad, Sushi, Grilled Chicken",verified,25
Uz0Uxf,nHLlnK,Old Chico ESB,,,N,N,,,verified,5
kGli9E,nHLlnK,Old CHico Pale Bock,,,N,N,,,verified,88
KmsdoV,q6vJUK,Old Chub,8,25,N,N,cold,,verified,15
9bNjNs,q6vJUK,Old Chub Nitro,8,25,N,N,,,verified,15
lFMs56,q6vJUK,Old Double Bagger Barleywine,13.2,,N,N,,,verified,34
3L21AU,q6vJUK,One Hit Wonder Imperial IPA,,,N,N,,,verified,31
ZQKG7N,q6vJUK,One Nut,6.1,,N,N,,,verified,37
r4I50V,IImUD9,Ophelia,6.6,,N,N,,,verified,113
qQPhVI,q6vJUK,Oskar Blues IPA,6.43,70,N,N,cold,,verified,30
qX8i3E,q6vJUK,Oskar the G’Rauch,8.5,,N,N,,,verified,125
cCXIXP,q6vJUK,Osktoberfest,,,N,N,,,verified,82
UZD25d,nHLlnK,Otra Vez,4.5,,N,N,,,verified,165
cByN2F,nHLlnK,Otra Vez Gose With Lime & Agave,4.9,6,N,N,,,verified,165
dM2XzJ,nHLlnK,Ovila Abbey Aged Dubbel,8.5,,N,N,,,verified,58
uXdZle,nHLlnK,Ovila Abbey Brown Ale (With Mandarins and Cocoa),7,,N,N,,,verified,37
Dwhny1,nHLlnK,Ovila Abbey Quad with Plums,10.2,,N,Y,,,verified,60
7i1hXo,nHLlnK,Ovila Abbey Saison,7.5,24,N,N,,,verified,72
ONdtij,nHLlnK,Ovila Abbey Saison (w/ Mandarin Oranges and Peppercorns),7.5,24,N,N,,,verified,72
Lx7DEm,nHLlnK,Ovila Abbey Trippel,8.8,30,N,N,,"CUISINE - Roast Pork, Prosciutto-wrapped asparagus
CHEESE - Triple Creme, Gouda
DESSERT - Apricot Tart, Citrus Cheesecake",verified,59
HO9ROw,nHLlnK,Ovila Abbey White,5.3,22,N,N,,,verified,65
qGQc7S,nHLlnK,Ovila Belgian Golden Ale,8.5,,N,N,,,verified,63
3zb9Gq,nHLlnK,Ovila Dubbel,7.5,,N,N,,,verified,58
cB7Dxt,nHLlnK,Ovila Dubbel Barrel-Aged,10.8,,N,N,,,verified,132
4KIe0t,nHLlnK,Ovila Golden With Pomegranates,8.5,30,N,N,,,verified,36
AlRuKw,nHLlnK,Ovila Quad,10.5,,N,N,,,verified,59
T7K4um,nHLlnK,Ovila Quad Brandy Barrel-Aged,10.1,,N,N,,,verified,60
UuyWmA,nHLlnK,Ovila Wood-Aged Saison,7.8,,N,N,,,verified,72
8Ug3hm,q6vJUK,Oxford Education,7.3,,N,N,,,verified,12
pYkVxn,941OaA,Pacific Daylight,3.9,11,N,N,very_cold,,verified,108
fQSwqJ,BznahA,Pacific Ridge Pale Ale,,,N,N,,,verified,25
rbRRxm,AqEUBQ,Palé,7.1,,N,N,,,verified,25
cdkpyx,nHLlnK,Pale Ale,5.6,37,N,N,cold,,verified,25
CZn6nT,yX6twV,Pale Ale,5.6,33,N,N,,,verified,25
bnURKM,AqEUBQ,Paleooza,4.4,32.94,N,N,cold,"Spicy dishes, hard cheeses, greens.",verified,25
Tqu2Of,IImUD9,Pandora's Bock,7.5,16,N,Y,,,verified,88
gpCMad,AqEUBQ,Passion Blaster,6,15,N,N,,,verified,119
yjsHPX,nHLlnK,Passion Fruit Milkshake Ipa,6.2,,N,N,,,verified,172
Ln4Gn6,q6vJUK,Passion Fruit Pinner,4.9,40,N,N,,,verified,164
QkHinm,nLsoQ9,Passion Grass,5,54,N,N,,,verified,25
Y9X4cN,nHLlnK,Pat-Rye-Ot,5.6,39,N,N,,,verified,25
AJwGIV,nHLlnK,Peach IPA,5.8,,N,N,,,verified,30
dRGLDH,BznahA,Peach-a-Rita,8,,N,N,,,verified,161
KnIZVN,p1tFbP,Peach/Blueberry Hefeweizen,,,Y,N,,,verified,119
eCmjOc,p1tFbP,Pear Champagne,5.3,22,Y,N,,,verified,36
UmJ5Wm,yX6twV,Pecan Porter,8,,N,N,,,verified,18
QdCdco,AqEUBQ,Pele (Brazilian Pale Ale),7.1,,N,N,,,verified,73
7zuKpR,p3YrOa,Philly Tripel Plan B,8,,N,N,,,verified,62
XHB8Tj,AqEUBQ,Pilgrim's Dole,12,30,N,N,,Caramel and Vanilla based Desserts,verified,35
1yMrDb,nLsoQ9,Pils,6.2,35,N,N,,,verified,75
aPMdQj,p3YrOa,Pimp My Ride,7.8,,N,N,,,verified,31
NAfiYn,BznahA,Pine-Apple-Rita,8,,N,N,,,verified,161
0j4t2Z,DMU2Kf,Pinnacle Peak Pale Ale,4.2,,N,N,,,verified,25
52gmSJ,q6vJUK,Pinner Throwback IPA,4.9,35,N,N,,chili creole mussels oysters sausage seafood,verified,164
6Q7pkn,nHLlnK,Pitch-A-Tent,9,,N,N,,,verified,
7aZN1V,IImUD9,Plum Gose,4.5,,N,N,,,verified,47
L6Lk8r,nLsoQ9,Plum Jasmine Gose,9.6,,N,N,,,verified,40
AY6Jg8,DMU2Kf,Point Defiance IPA,6.1,70,N,N,,,verified,30
hbf2am,941OaA,Pomona Queen,4.8,13,N,N,cold,"Yes, please.",verified,101
T9hizi,q6vJUK,Pond Scum,,,N,N,,,verified,3
cglNbC,nHLlnK,Port Barrel Aged Biere De Garde,10.2,15,N,N,,,verified,71
0K21pW,nHLlnK,Porter,5.6,32,N,N,,,verified,18
aBYXhp,IImUD9,Porter Porter,7.5,21,N,Y,,,verified,19
bFMDB3,4F7QA9,Portsmouth Barleywine,11,100,N,N,,,verified,34
bZ8hmu,p1tFbP,Potato Schwarzbier,4.9,26,Y,N,,,verified,84
UBcopK,yX6twV,Premium 219 Pilsner,4.7,,N,N,,,verified,98
RDSydO,p3YrOa,Prince Myshkin,9,,N,N,,,verified,43
AWdfjO,q6vJUK,Priscilla,5.2,20,N,N,,,verified,65
y5dpHI,p3YrOa,Prisoner of Hell,8,,N,N,,,verified,61
NQwb75,p1tFbP,Puck American Pale Ale,5.2,,Y,N,,,verified,25
LDo4fA,AqEUBQ,Puff The Magic Cyser,8.5,,N,N,,,verified,143
FMWVLR,DMU2Kf,Puget Brown Porter,5.6,,N,N,,,verified,18
EbwOyu,TMc6H2,Pulled Porter,7.7,,N,N,,,verified,38
UimBmb,q6vJUK,Pumpkin Chub,8,,N,N,,,verified,121
EyM4tM,IImUD9,Pumpkin Spice Latte : Nitro Series,5.5,11,N,N,,,verified,42
otVuwu,yX6twV,Purebred A.P.A. Citra,6.2,67.8,N,N,,,verified,29
I1L4J0,DifSi4,Quinn's Amber Ale,4.8,19,N,N,,,verified,32
OAko81,VEY3Xa,R. Prime,6.2,65,N,N,,,verified,30
otkATx,nHLlnK,Rain Check,,,N,N,,,verified,44
s1eqWg,p1tFbP,Rainy Day Blues,6,25,Y,N,,,verified,104
WUHF66,BznahA,Rascal's Wild Red,8,,N,N,,,verified,119
NCsyAW,BznahA,Raz-Ber-Rita,8,,N,N,,,verified,161
bM2eLl,941OaA,Red Between the Lines,6.2,50,N,N,cool,"Meat, pasta, cheeses.",verified,32
p0Qbef,nHLlnK,Red Ryeot,6.5,,N,N,,,verified,117
txhujB,AqEUBQ,Red Tulip,,,N,N,,,verified,
GIO3Xe,nHLlnK,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),8,,N,N,,,verified,32
7aeVlx,BznahA,Redbridge,4,,N,N,,,verified,127
UPDwhn,q6vJUK,Reeb Rye'd PA,7,65,N,N,,,verified,117
zAC6PV,IImUD9,Regal Pilsner,7,45,N,N,,,verified,98
Lt3xMf,AqEUBQ,Renee IPA,,80,N,N,,,verified,30
YVWopx,nHLlnK,Return of the Red Eye IPA,6.5,,N,N,,,verified,30
xZCUbm,DifSi4,Revered Red,5.4,,N,N,,,verified,32
bztkAM,nHLlnK,Rhizing Bines,8,70,N,Y,,"Cured ham, barbecued meats, pear and blue cheese tart, tangy chevre",verified,31
O9XhOw,AqEUBQ,RIPA,5.9,,N,N,,,verified,22
0UTcHS,VEY3Xa,Ripley Tripel,9.6,25,N,N,,,verified,59
XlDXNh,nHLlnK,River Ryed Rye IPA,6,,N,N,,,verified,117
6iwkrE,q6vJUK,Robert Beedus Jr,,,N,N,,,verified,23
WBe09U,q6vJUK,Rock Candy Hoppy Red,7.5,,N,N,,,verified,33
yBrlNu,yX6twV,Rocket Dog Rye I.P.A,6.9,62,N,N,,,verified,30
tuzag8,q6vJUK,Rockin Blues IPA,,,N,N,,,verified,30
zkfPGW,p1tFbP,Rompo Red Rye (Bourbon Barrel Aged),5.2,,Y,N,,,verified,132
M77aJE,p1tFbP,Rompo Red Rye (Corsair Quinoa Whiskey Barrel Aged),,,Y,N,,,verified,132
akZCc6,p1tFbP,Rompo Red Rye (Dickel),5.2,,Y,N,,,verified,132
TLdF50,p1tFbP,Rompo Red Rye Ale,5.6,,N,N,,,verified,117
WFjpOp,4F7QA9,Royal Impy Stout,,,N,N,,,verified,43
7faCP2,q6vJUK,Rum Barrel-Aged Ten Fidy,14.7,65,N,N,,,verified,43
EzaTJ3,941OaA,Runway IPA,6.2,50,N,N,cool,"Grilled food and salad dishes, strong cheese.",verified,73
SjPBgM,AqEUBQ,Russ' Revival,5.3,,N,N,,,verified,93
HaN457,AqEUBQ,Rustiek-Barrel Aged Belgian Amber Ale,9.4,,N,N,,,verified,32
qOKA1F,nHLlnK,Ruthless Rye IPA,6.6,55,N,N,,"Herbed Roasted Potatos, Prosciutto, Jamaican-style Jerk Chicken",verified,30
f16hLl,nLsoQ9,Ruthlessly Delicious,6.2,52,N,N,,,verified,30
lMlLXZ,DifSi4,Ryde Beer,5,22,N,N,,,verified,117
5fM3ER,p1tFbP,Rye Barrel Aged Cubcrawler,,,N,N,,,verified,11
7bnlRC,nLsoQ9,Rye Cocoa Porter - ScareCity #2,10.2,,N,N,,,verified,158
zTJ86p,AqEUBQ,Rye Hatter,6.12,60,N,N,,"blue cheese, blackened seafood, herb-roasted poultry",verified,112
Y6VFJW,p3YrOa,Rye IPA,6.8,,N,N,,,verified,30
HyTdTM,q6vJUK,Rye Times,,,N,N,,,verified,117
VdK5qM,nHLlnK,Rye Way 117,7.4,,N,N,,,verified,126
lDDTXD,nHLlnK,Ryeday the 13th,5.5,,N,N,,,verified,117
WbvFmE,q6vJUK,S Bus Imperial Brown,,,N,N,,,verified,37
a5LtHp,nLsoQ9,Sacramento Beer Week Beer,9,,N,N,,,verified,125
mcvkTZ,BznahA,Safari Amber,5,,N,N,,,verified,32
4neIJi,4F7QA9,Saison Dans La Maison ,5.6,20,Y,N,,,verified,72
yh28GV,nLsoQ9,Sakitumi,9,42,N,N,,,verified,125
htJQLM,IImUD9,Salted Grapefruit Farmhouse Ale,5.2,,N,N,,,verified,72
CLsadV,VEY3Xa,Sans Souci,5.9,30,N,N,,,verified,72
mjwrcO,p3YrOa,Satellite Stout,5.5,,N,N,,,verified,42
37s6fV,q6vJUK,Say Sean Huell Melon Dry Hopped Saison,4,,N,N,,,verified,72
Api83U,nLsoQ9,Scare City 1,7.5,60,N,N,,,verified,98
WFT0UY,nLsoQ9,Scare City 4 Imperial Wheat Wine,9.7,,N,N,,,verified,35
IzBcZt,nHLlnK,Scotch-Style Ale,7.3,,N,N,,,verified,15
Z4LnaP,TMc6H2,Second Helping IPA,7.4,,N,N,,,verified,30
gvFuE2,BznahA,Select 55,4,,N,N,,,verified,94
VgbSMs,4F7QA9,Selkie,4.9,,N,N,,,verified,22
8vbUYR,nHLlnK,Session Rye,4.5,31,N,N,,,verified,117
uAYQwf,BznahA,Shadow's Wild Black,8,,N,N,,,verified,119
gVuwQ6,941OaA,Shameless McDale,4.8,22,N,N,cold,,verified,22
1qx64W,nHLlnK,Shamrock'n Rye Ale,6.6,,N,N,,,verified,117
N87g0e,q6vJUK,Shipwrecker Circus,10.5,,N,N,,,verified,17
FtZRre,nHLlnK,Sidcar Orange IPA,6.8,35,N,N,,,verified,30
lPcmND,nHLlnK,SideCar,5.6,,N,N,,,verified,32
LB8JzL,nHLlnK,Sidecar Orange Pale Ale,5.6,35,N,N,,,verified,25
z71HIM,nHLlnK,Sierra Nevada Torpedo Cask,7.2,,N,N,,,verified,30
GCDyUs,AqEUBQ,Silent Night,11,39,N,Y,,,verified,64
ULNeg7,p1tFbP,Simcoe Pale Ale,5.2,47,Y,N,,,verified,25
lsUdvK,nHLlnK,Simmer Down Brown,7,,N,N,,,verified,37
f1MEZQ,p1tFbP,Single Barrel Rompo,,,Y,N,,,verified,132
P8KXUd,nHLlnK,Single Hop Amarillo IPA,6.7,,N,N,,,verified,30
dqKU6w,nHLlnK,Single Hop Cascade IPA,6.3,45,N,N,,,verified,30
dlm9nV,nHLlnK,Single Hop Citra IPL,5.5,,N,N,,,verified,93
G5Uxww,nHLlnK,Single Hop El Dorado Session IPA,4.6,,N,N,,,verified,164
1S3Le4,nHLlnK,Single Hop Mosaic Double IPA,6.6,47,N,N,,,verified,31
Mvh5U2,p1tFbP,Single Hop Series: Liberty,5,44,Y,N,,,verified,30
OH98hq,TMc6H2,Sinner's Son,12.4,60,N,N,,,verified,43
8ftXVJ,BznahA,Six Grain Harvest Lager (Batch No. 63118),5.5,,N,N,,,verified,93
e0bg5f,nHLlnK,Six Rights IPA -  Beer Camp,8,,N,N,,,verified,30
CI8j2t,nHLlnK,Sleight of Hand,8.3,,N,N,,,verified,
1EDyEY,AqEUBQ,Smaug's Breath,11,,N,N,,,verified,16
FlmKOv,q6vJUK,Smidy,5.2,,N,N,,,verified,20
9BJRbZ,HaPdSL,Smithwick's Premium Red Ale,4.5,,N,N,,,verified,22
K6s9S1,q6vJUK,Smoke on The Water,7,,N,N,,,verified,129
xh62VZ,yX6twV,Sneaky Pete,10,,N,N,,,verified,31
FxxNhs,nHLlnK,Snow Cone IPA,7,,N,N,,,verified,30
P2rD30,IImUD9,Snow Glare,6,23,N,N,,,verified,25
LPjakS,nHLlnK,Snow Wit,5.7,40,N,N,,"Grilled mahi-mahi with Citrus glaze, Shaved fennel and Mandarin salad, Roast Pork with orange glaze

Butterkase, fresh chèvre, Brie",verified,30
Ieu3Wi,p1tFbP,Snowday Porter,,,Y,N,,,verified,18
14UQ4N,p1tFbP,Snowman Stout,5.2,28,Y,N,,,verified,42
Bzl1Jw,AqEUBQ,Solar Coaster,6.1,,N,N,,,verified,125
fX6odn,nHLlnK,Solar Storm - Beer Camp #71,5.8,,N,N,,,verified,30
NZ5gEX,q6vJUK,Sour Cherry Ten FIDY,10,,N,N,,,verified,136
2ZwqMd,AqEUBQ,Sour Inc: Apple Rhubarb,4.5,,N,N,,,verified,47
zcGmvP,AqEUBQ,Sour Inc: Honey Ginger,4.5,,N,N,,,verified,40
nbVcip,AqEUBQ,Sour Inc: Sour Stout With Cherries,6.7,,N,N,,,verified,44
Tw2gsB,nLsoQ9,Sour Pineapple,6.1,,N,N,,,verified,40
1SYQ5O,nHLlnK,Southern Gothic Session Pils,5.6,40,N,N,,,verified,75
xXJuyA,nHLlnK,Southern Hemisphere Harvest,6.7,66,N,N,,,verified,25
Uwcqsj,q6vJUK,Southern Hemisphere Hopped ESB,6,,N,N,,,verified,5
7SC2N0,nHLlnK,Southern Hemisphere Session IPA,4.6,40,N,N,,,verified,164
KfC3l9,p3YrOa,Spanglish Fly,8,,N,N,,,verified,71
8TQNbT,q6vJUK,Spinner,5.6,54,N,N,,,verified,30
zJigjF,TMc6H2,Spinnerbait,6,25,N,N,,,verified,57
i1jKN5,BznahA,Spring Heat Spiced Wheat,5.2,,N,Y,,,verified,65
dODEDo,p1tFbP,Spruce Beersteen,6,67,Y,N,,,verified,41
sYYgGI,TMc6H2,Squeeze Box,6.1,45,N,N,,,verified,30
0c3ltk,yX6twV,St. Benny's Labby Style Ale,,,N,N,,,verified,63
onllb0,q6vJUK,Station 3,5.7,,N,N,,,verified,48
oqsjeJ,nHLlnK,Steady As She Gose,5.7,,N,N,,,verified,47
h7N6T9,4F7QA9,Stephan Urquell ,4,40,Y,N,,,verified,106
xg7BJX,q6vJUK,Sticky Icky,6.5,80,N,N,,,verified,30
D4I0lX,p1tFbP,Stone Cold Peach,5.6,30,Y,N,,,verified,72
eBelPz,BznahA,Stone Mill Organic Pale Ale,5.5,,N,N,,,verified,25
qvtSfO,nLsoQ9,Stoopid Wit,6,,N,N,,,verified,65
rHCSHp,nHLlnK,Stout,5.8,50,N,N,,,verified,42
fDUiV9,VEY3Xa,Strawberry Moon,4.3,10,N,N,,,verified,40
ZyZ1g3,nLsoQ9,Strawberry White Pale Ale,5.1,,N,N,,,verified,30
L2Nd1C,DMU2Kf,Stryker Stout,,,N,N,,,verified,42
babLje,nLsoQ9,Sucks,8,63.21,N,N,cellar,,verified,31
LfwcEu,4F7QA9,Sugarshack Saison,5.1,15,N,N,,,verified,72
h9JXAb,DifSi4,Summer Ale,4.7,11,N,N,,,verified,113
vKqrQm,VEY3Xa,Summer Gruit Ale,5.1,,N,N,,,verified,
iId6Sg,p3YrOa,Summer in Berlin,5,,N,N,,,verified,40
p6ZP0p,IImUD9,Summer Pils,5,,N,N,,,verified,98
MmaQrA,4F7QA9,Summer Rye,,,N,N,,,verified,115
AQE3Sx,p3YrOa,Summer Session,5,,N,N,,,verified,112
3Zc0Ez,IImUD9,SummerBright Ale,4.5,15,N,N,,,verified,36
5ue4ah,nHLlnK,Summerfest,5,28,N,N,,,verified,93
